premium,arima_prediction,LR_prediction,LR2_prediction,LR_lasso_prediction,LR_ridge_prediction,sarima
55001.0,32335.958758125795,56585.29492009229,75726.15449913155,75758.68471964716,75742.89598136814,34562.27900771121
57010.0,32343.75203990927,56606.017498799476,76850.61904558103,76878.86605050307,76862.52900512339,35267.18217049093
58801.0,32299.92906706251,56647.462656213844,77306.94914596857,77331.76727977423,77314.47109985432,34873.63585289084
57599.0,32347.942317436697,56460.95944784919,100371.40360312055,100509.7094848599,100526.0989286419,35458.37655200292
57898.0,32328.820935114563,56709.63039233539,100749.56616624509,100884.80271793737,100899.8029736726,35837.72604034636
60761.0,32307.506526280078,56481.68202655637,102953.34685763723,103046.55171163018,103048.00563868499,35341.32275028538
63000.0,32352.617000612634,56606.017498799476,102355.54637787004,102453.053244413,102455.26829397172,33880.99671960713
68501.0,32315.851255373014,56709.63039233539,103824.16308537239,103941.57994122233,103952.8348471095,33110.25819084028
71556.0,32319.60984221243,56460.95944784919,103708.28704042253,103826.82772203448,103838.98659082006,33257.28496470995
72996.0,32349.768282440484,56606.017498799476,104752.61420436553,104808.95173517158,104797.61970870092,32961.559392556526
68699.0,32308.14109931173,56688.90781362821,103091.0294241409,103159.60361633085,103151.11562580237,33610.43157462713
